whisky_link,whisky_name,whisky_age,bottling_date,whisky_name_suffix,alcohol_pct
https://www.whisky.com/whisky-database/details/ardbeg-corryvreckan.html,Ardbeg,,,Corryvreckan,- 57.1%
https://www.whisky.com/whisky-database/details/makers-mark-5.html,Maker‘s Mark,,,,- 45%
https://www.whisky.com/whisky-database/details/makers-mark-red-seal-2.html,Maker‘s Mark,,,,- 45%
https://www.whisky.com/whisky-database/details/makers-mark-makers-mark.html,Maker‘s Mark,,,,- 45%
https://www.whisky.com/whisky-database/details/makers-mark-red-seal-jumper.html,Maker‘s Mark,,,Jumper,- 45%
https://www.whisky.com/whisky-database/details/makers-mark-mark-double-dip-l-a-lakers.html,Maker‘s Mark,,,Mark Double Dip L. A. Lakers,- 45%
https://www.whisky.com/whisky-database/details/makers-mark-mark-with-mini-weihnachtspulli-new-design.html,Maker‘s Mark,,,Mark mit Mini-Weihnachtspulli - Design 2020,- 45%
https://www.whisky.com/whisky-database/details/makers-mark-mark-with-shaker.html,Maker‘s Mark,,,with Shaker,- 45%
https://www.whisky.com/whisky-database/details/makers-mark-mark-holiday-edition.html,Maker‘s Mark,,/ 2019,Mark Holiday Edition,- 45%
https://www.whisky.com/whisky-database/details/highland-park-5.html,Highland Park,18Y,,,- 43%
https://www.whisky.com/whisky-database/details/highland-park-viking-pride-1.html,Highland Park,18Y,,Viking Pride,- 43%
https://www.whisky.com/whisky-database/details/auchentoshan-three-wood-new-design.html,Auchentoshan,,,Three Wood - new Design,- 43%
https://www.whisky.com/whisky-database/details/bowmore-57e423960e.html,Bowmore,15Y,,,- 43%
https://www.whisky.com/whisky-database/details/bowmore-60c66a00ad.html,Bowmore,15Y,,,- 43%
https://www.whisky.com/whisky-database/details/glenmorangie-quinta-ruban.html,Glenmorangie,12Y,,Quinta Ruban,- 46%
https://www.whisky.com/whisky-database/details/cardhu-2.html,Cardhu,12Y,,,- 40%
https://www.whisky.com/whisky-database/details/cardhu-with-2-glasses.html,Cardhu,12Y,,with 2 Glasses,- 40%
https://www.whisky.com/whisky-database/details/bushmills-neues-design.html,Bushmills,10Y,,- neues Design,- 40%
https://www.whisky.com/whisky-database/details/bushmills.html,Bushmills,10Y,,,- 40%
https://www.whisky.com/whisky-database/details/bushmills-5.html,Bushmills,10Y,,,- 46%
https://www.whisky.com/whisky-database/details/bushmills-sherry-cask-finish.html,Bushmills,10Y,,Sherry Cask Finish,- 46%
https://www.whisky.com/whisky-database/details/aberlour-5.html,Aberlour,18Y,/ 2017,,- 43%
https://www.whisky.com/whisky-database/details/glenfiddich-solera-reserve-4.html,Glenfiddich,15Y,,Solera Reserve,- 40%
https://www.whisky.com/whisky-database/details/edradour-edradour-caledonia.html,Edradour,12Y,/ 2022,Caledonia,- 46%
https://www.whisky.com/whisky-database/details/edradour-caledonia.html,Edradour,12Y,/ 2023,Caledonia,- 46%
https://www.whisky.com/whisky-database/details/laphroaig-quarter-cask.html,Laphroaig,,,Quarter Cask,- 48%
https://www.whisky.com/whisky-database/details/glenfiddich-old-design.html,Glenfiddich,18Y,,old design,- 40%
https://www.whisky.com/whisky-database/details/glenfiddich-small-batch-reserve.html,Glenfiddich,18Y,,Small Batch Reserve,- 40%
https://www.whisky.com/whisky-database/details/glenfarclas-02-liter-1.html,Glenfarclas,21Y,,"0,2 Liter",- 43%
https://www.whisky.com/whisky-database/details/glenfarclas-51.html,Glenfarclas,21Y,,,- 43%
https://www.whisky.com/whisky-database/details/kilchoman-triple-cask-clubflasche-2022.html,Kilchoman,,,Triple Cask - Clubflasche 2022,- 46%
https://www.whisky.com/whisky-database/details/glenlivet.html,Glenlivet,12Y,,,- 40%
https://www.whisky.com/whisky-database/details/glendronach-revival.html,Glendronach,15Y,/ 2014,Revival,- 46%
https://www.whisky.com/whisky-database/details/clynelish.html,Clynelish,14Y,,,- 46%
https://www.whisky.com/whisky-database/details/suntory-hibiki-harmony-limited-design-edition.html,Suntory,,,Hibiki Harmony - Limited Design Edition,- 43%
https://www.whisky.com/whisky-database/details/suntory-hibiki-japanese-harmony-masters-select.html,Suntory,,,Hibiki Japanese Harmony Master's Select,- 43%
https://www.whisky.com/whisky-database/details/laphroaig-sherry-oak.html,Laphroaig,10Y,,Sherry Oak,- 48%
https://www.whisky.com/whisky-database/details/arran-new-design.html,Arran,10Y,,- new Design,- 46%
https://www.whisky.com/whisky-database/details/arran-18.html,Arran,10Y,,,- 46%
https://www.whisky.com/whisky-database/details/connemara-original-3.html,Connemara,,,Original,- 40%
https://www.whisky.com/whisky-database/details/connemara-connemara-original.html,Connemara,,,Original,- 40%
https://www.whisky.com/whisky-database/details/springbank-1.html,Springbank,10Y,,,- 46%
https://www.whisky.com/whisky-database/details/miniatur-springbank.html,Springbank,10Y,,,- 46%
https://www.whisky.com/whisky-database/details/bowmore-enigma.html,Bowmore,12Y,,Enigma,- 40%
https://www.whisky.com/whisky-database/details/ledaig.html,Ledaig,10Y,,,- 46.3%
https://www.whisky.com/whisky-database/details/ledaig-a7b8aa4b8d.html,Ledaig,10Y,,,- 46.3%
https://www.whisky.com/whisky-database/details/ledaig-ledaig-1.html,Ledaig,10Y,,,- 46.3%
https://www.whisky.com/whisky-database/details/glenkinchie.html,Glenkinchie,12Y,,,- 43%
https://www.whisky.com/whisky-database/details/glenkinchie-15.html,Glenkinchie,12Y,,,- 43%
https://www.whisky.com/whisky-database/details/tomatin-legacy-1.html,Tomatin,,,Legacy,- 43%
https://www.whisky.com/whisky-database/details/balvenie-caribbean-cask.html,Balvenie,14Y,,Caribbean Cask,- 43%
https://www.whisky.com/whisky-database/details/miniatur-balvenie-caribbean-cask.html,Balvenie,14Y,,Caribbean Cask,- 43%
https://www.whisky.com/whisky-database/details/balvenie-caribbean-cask-with-2-glasses.html,Balvenie,14Y,,Caribbean Cask mit 2 Gläsern,- 43%
https://www.whisky.com/whisky-database/details/balvenie-caribbean-cask-with-glas.html,Balvenie,14Y,,Caribbean Cask mit Glas,- 43%
https://www.whisky.com/whisky-database/details/glenmorangie-quinta-ruban-port.html,Glenmorangie,14Y,,Quinta Ruban Port,- 46%
https://www.whisky.com/whisky-database/details/glenmorangie-quinta-ruban-port-giraffe.html,Glenmorangie,14Y,,Quinta Ruban Port Giraffe,- 46%
https://www.whisky.com/whisky-database/details/glendronach-glendronach-revival.html,Glendronach,15Y,,Revival,- 46%
https://www.whisky.com/whisky-database/details/glendronach-15y-2018-46-07l.html,Glendronach,15Y,/ 2018,Revival,- 46%
https://www.whisky.com/whisky-database/details/aberlour-1.html,Aberlour,10Y,,,- 40%
https://www.whisky.com/whisky-database/details/port-charlotte-22.html,Port Charlotte,10Y,,,- 50%
https://www.whisky.com/whisky-database/details/port-charlotte-port-charlotte.html,Port Charlotte,10Y,,,- 50%
https://www.whisky.com/whisky-database/details/kilchoman-kilchoman-sanaig.html,Kilchoman,,,Sanaig,- 46%
https://www.whisky.com/whisky-database/details/kilchoman-sanaig-6.html,Kilchoman,,/ 2019,Sanaig,- 46%
https://www.whisky.com/whisky-database/details/aberlour-non-chill-filtered.html,Aberlour,12Y,,Non Chill-Filtered,- 48%
https://www.whisky.com/whisky-database/details/glenfarclas-3.html,Glenfarclas,10Y,,,- 40%
https://www.whisky.com/whisky-database/details/glenfarclas-mit-2-glaesern-2.html,Glenfarclas,10Y,,mit 2 Gläsern,- 40%
https://www.whisky.com/whisky-database/details/glenallachie-63.html,Glenallachie,15Y,,,- 46%
https://www.whisky.com/whisky-database/details/glenlivet-3.html,Glenlivet,18Y,,,- 43%
https://www.whisky.com/whisky-database/details/miniatur-glenlivet.html,Glenlivet,18Y,,,- 43%
https://www.whisky.com/whisky-database/details/glenlivet-43-02-liter.html,Glenlivet,18Y,,"43% 0,2 liter",- 43%
https://www.whisky.com/whisky-database/details/glenlivet-glenlivet-43.html,Glenlivet,18Y,,43%,- 43%
https://www.whisky.com/whisky-database/details/tamnavulin-red-wine-cask-edition.html,Tamnavulin,,,Red Wine Cask Edition,- 40%
https://www.whisky.com/whisky-database/details/ardbeg-an-oa-1.html,Ardbeg,,,An Oa,- 46.6%
https://www.whisky.com/whisky-database/details/ardbeg-an-oa-smoker-pack.html,Ardbeg,,,An Oa Smoker Pack,- 46.6%
https://www.whisky.com/whisky-database/details/johnnie-walker-green-label-2.html,Johnnie Walker,15Y,,Green label,- 43%
https://www.whisky.com/whisky-database/details/johnnie-walker-walker-green-label-with-2-glasses.html,Johnnie Walker,15Y,,Walker Green Label mit 2 Gläsern,- 43%
https://www.whisky.com/whisky-database/details/dalmore-the-fifteen.html,Dalmore,15Y,,The Fifteen,- 40%
https://www.whisky.com/whisky-database/details/dalmore-dalmore-the-fifteen.html,Dalmore,15Y,,The Fifteen,- 40%
https://www.whisky.com/whisky-database/details/ballechin.html,Ballechin,10Y,,,- 46%
https://www.whisky.com/whisky-database/details/miniatur-ballechin-2.html,Ballechin,10Y,,,- 46%
https://www.whisky.com/whisky-database/details/eagle-rare-1.html,Eagle Rare,10Y,,,- 45%
https://www.whisky.com/whisky-database/details/eagle-rare-eagle-rare.html,Eagle Rare,10Y,,,- 45%
https://www.whisky.com/whisky-database/details/deanston-1.html,Deanston,12Y,,,- 46.3%
https://www.whisky.com/whisky-database/details/jameson-jameson-1-liter.html,Jameson,,,- 1 Liter,- 40%
https://www.whisky.com/whisky-database/details/jameson.html,Jameson,,,,- 40%
